ISSUE DATE,ISSUE TIME,FINE AMOUNT,TICKET LOCATION STREET,VIOLATION DESCRIPTION
1/6/2015,16:32,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
1/6/2015,9:09,$30.00,LOT 16B - STUDENT ONLY,BLOCKING VIOLATION
1/6/2015,9:10,$50.00,LOT 16B - STUDENT ONLY,TOWING FEE
1/6/2015,11:30,$30.00,LOT 17 - HEDCO,NO PERMIT DISPLAYED
1/6/2015,8:29,$45.00,LOT 26 - GER ANNEX,RESERVED SPACE
1/6/2015,7:43,$30.00,LOT 31 - BOWERMAN BLDG,NO PERMIT DISPLAYED
1/6/2015,7:18,$30.00,LOT 33 - BEAN EAST,NO PERMIT DISPLAYED
1/6/2015,7:19,$30.00,LOT 33 - BEAN EAST,NO PERMIT DISPLAYED
1/6/2015,7:20,$30.00,LOT 33 - BEAN EAST,NO PERMIT DISPLAYED
1/6/2015,7:21,$30.00,LOT 33 - BEAN EAST,NO PERMIT DISPLAYED
1/6/2015,7:31,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
1/6/2015,7:32,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
1/6/2015,7:35,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
1/6/2015,7:36,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
1/6/2015,7:39,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
1/6/2015,7:40,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
1/6/2015,7:45,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
1/6/2015,7:46,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
1/6/2015,7:47,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
1/6/2015,7:54,$30.00,LOT 37 - HAMILTON E,NO PERMIT DISPLAYED
1/6/2015,17:07,$30.00,LOT 43 - S LAW SCH,NO PERMIT DISPLAYED
1/6/2015,17:09,$30.00,LOT 43 - S LAW SCH,NO PERMIT DISPLAYED
1/6/2015,17:11,$30.00,LOT 43 - S LAW SCH,NO PERMIT DISPLAYED
1/6/2015,7:25,$30.00,LOT 44 - GRAD VILLAGE,NO PERMIT DISPLAYED
1/6/2015,7:27,$30.00,LOT 44 - GRAD VILLAGE,NO PERMIT DISPLAYED
1/6/2015,7:08,$30.00,LOT 51 - VILLARD ALY,NO PERMIT DISPLAYED
1/6/2015,7:10,$30.00,LOT 51 - VILLARD ALY,NO PERMIT DISPLAYED
1/6/2015,7:11,$30.00,LOT 51 - VILLARD ALY,NO PERMIT DISPLAYED
1/6/2015,7:12,$30.00,LOT 51 - VILLARD ALY,NO PERMIT DISPLAYED
1/6/2015,8:43,$0.00,LOT 54 - UOPD WEST,WARNING/NO CHARGE
1/6/2015,11:52,$30.00,LOT 58 - 1715 FRANKLIN,NO PERMIT DISPLAYED
1/6/2015,15:49,$35.00,UNIVERSITY,OVERLINE/TAKE THE SPACE OF
1/6/2015,7:05,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/6/2015,7:06,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/6/2015,7:08,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/6/2015,7:10,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/6/2015,7:13,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/6/2015,8:20,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/6/2015,9:16,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/6/2015,10:24,$100.00,UNIVERSITY ST METERS,ALTERING PERMIT
1/6/2015,10:35,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/6/2015,15:38,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/6/2015,15:40,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/6/2015,15:43,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/6/2015,15:45,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/6/2015,15:46,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/6/2015,15:47,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,10:36,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/7/2015,10:37,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/7/2015,10:39,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/7/2015,10:40,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/7/2015,10:41,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/7/2015,12:19,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/7/2015,12:20,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/7/2015,14:27,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/7/2015,14:27,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/7/2015,14:28,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/7/2015,14:28,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/7/2015,14:30,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/7/2015,16:42,$20.00,19-CLINICAL SRVC,30 MINUTE ONLY ZONE
1/7/2015,11:39,$30.00,ACADEMIC EXTENSION,NO PERMIT DISPLAYED
1/7/2015,10:28,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER
1/7/2015,10:22,$0.00,LOT 13 - 13TH BEECH-UNIV,WARNING/NO CHARGE
1/7/2015,14:23,$20.00,LOT 15 - JAQUA,OVERTIME LOT METER
1/7/2015,14:23,$20.00,LOT 15 - JAQUA,OVERTIME LOT METER
1/7/2015,14:24,$20.00,LOT 15 - JAQUA,OVERTIME LOT METER
1/7/2015,8:31,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
1/7/2015,8:32,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
1/7/2015,17:00,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
1/7/2015,17:05,$100.00,LOT 16A - FAC/STAFF LOT,MISUSE OF PERMIT
1/7/2015,17:08,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
1/7/2015,10:41,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER
1/7/2015,10:43,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER
1/7/2015,11:32,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER
1/7/2015,16:48,$30.00,LOT 17 - HEDCO,NO PERMIT DISPLAYED
1/7/2015,16:50,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER
1/7/2015,16:52,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER
1/7/2015,8:49,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
1/7/2015,8:55,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
1/7/2015,11:23,$100.00,LOT 34E - GLOBAL SCHOLARS,MISUSE OF PERMIT
1/7/2015,10:43,$20.00,LOT 36A - CARSON,OVERTIME LOT METER
1/7/2015,10:46,$50.00,LOT 36A - CARSON,BOOT FEE
1/7/2015,12:23,$20.00,LOT 36A - CARSON,OVERTIME LOT METER
1/7/2015,14:32,$20.00,LOT 36A - CARSON,OVERTIME LOT METER
1/7/2015,14:32,$20.00,LOT 36A - CARSON,OVERTIME LOT METER
1/7/2015,14:39,$20.00,LOT 36A - CARSON,OVERTIME LOT METER
1/7/2015,8:18,$45.00,LOT 42 - 12TH W OF KIN,RESERVED SPACE
1/7/2015,8:19,$50.00,LOT 42 - 12TH W OF KIN,TOWING FEE
1/7/2015,8:25,$0.00,LOT 42 - 12TH W OF KIN,WARNING/NO CHARGE
1/7/2015,10:07,$35.00,LOT 44 - GRAD VILLAGE,RESTRICTED AREA
1/7/2015,10:07,$35.00,LOT 44 - GRAD VILLAGE,RESTRICTED AREA
1/7/2015,11:46,$30.00,LOT 50 - BARNHART,NO PERMIT DISPLAYED
1/7/2015,11:46,$30.00,LOT 50 - BARNHART,NO PERMIT DISPLAYED
1/7/2015,11:47,$30.00,LOT 50 - BARNHART,NO PERMIT DISPLAYED
1/7/2015,9:07,$30.00,LOT 51 - VILLARD ALY,NO PERMIT DISPLAYED
1/7/2015,9:09,$30.00,LOT 51 - VILLARD ALY,NO PERMIT DISPLAYED
1/7/2015,9:15,$50.00,LOT 51 - VILLARD ALY,BOOT FEE
1/7/2015,10:17,$0.00,LOT 55 - MOSS ST,WARNING/NO CHARGE
1/7/2015,10:20,$35.00,LOT 55 - MOSS ST,RESTRICTED AREA
1/7/2015,10:21,$0.00,LOT 55 - MOSS ST,WARNING/NO CHARGE
1/7/2015,11:55,$35.00,LOT 5A,NO PARKING ZONE
1/7/2015,11:59,$30.00,LOT 5A,NO PERMIT DISPLAYED
1/7/2015,9:48,$30.00,LOT 6A - 11TH/KINCAID,NO PERMIT DISPLAYED
1/7/2015,7:43,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,7:51,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,7:58,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,9:49,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,9:50,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,9:52,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,9:53,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,9:54,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,9:56,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,9:57,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,9:58,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,10:03,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,10:12,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,10:15,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,10:19,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,14:47,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,14:47,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,14:48,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,14:49,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,14:51,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,14:52,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,14:52,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,14:53,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,14:54,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,14:54,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,14:54,$50.00,UNIVERSITY ST METERS,BOOT FEE
1/7/2015,14:55,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,17:17,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,17:19,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,17:23,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,17:26,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,17:27,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,17:29,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,17:30,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,17:32,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,17:33,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,17:34,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,17:35,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/7/2015,17:37,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/8/2015,17:35,$35.00,90,NO PARKING ZONE
1/8/2015,17:37,$35.00,90,NO PARKING ZONE
1/8/2015,17:38,$35.00,90,NO PARKING ZONE
1/8/2015,17:40,$35.00,90,NO PARKING ZONE
1/8/2015,17:42,$35.00,90,NO PARKING ZONE
1/8/2015,11:03,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/8/2015,11:27,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/8/2015,9:36,$30.00,15TH AVE,NO PERMIT DISPLAYED
1/8/2015,9:41,$20.00,15TH AVE,OVERTIME STREET MTR
1/8/2015,16:55,$30.00,15TH AVE,NO PERMIT DISPLAYED
1/8/2015,16:56,$30.00,15TH AVE,NO PERMIT DISPLAYED
1/8/2015,17:01,$35.00,15TH AVE,RESTRICTED AREA
1/8/2015,13:29,$35.00,15TH AVE METERS,OVERLINE/TAKE THE SPACE OF
1/8/2015,11:35,$20.00,LOT 15 - JAQUA,OVERTIME LOT METER
1/8/2015,11:36,$50.00,LOT 15 - JAQUA,BOOT FEE
1/8/2015,14:44,$20.00,LOT 15 - JAQUA,OVERTIME LOT METER
1/8/2015,14:45,$20.00,LOT 15 - JAQUA,OVERTIME LOT METER
1/8/2015,14:45,$20.00,LOT 15 - JAQUA,OVERTIME LOT METER
1/8/2015,11:29,$20.00,LOT 36A - CARSON,OVERTIME LOT METER
1/8/2015,7:37,$35.00,LOT 37 - HAMILTON E,NO PARKING ZONE
1/8/2015,7:39,$35.00,LOT 37 - HAMILTON E,NO PARKING ZONE
1/8/2015,7:56,$0.00,LOT 37 - HAMILTON E,WARNING/NO CHARGE
1/8/2015,13:06,$30.00,LOT 52 - UOPD EAST,NO PERMIT DISPLAYED
1/8/2015,8:20,$45.00,UNIVERSITY ST METERS,RESERVED SPACE
1/8/2015,8:22,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/8/2015,8:24,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/8/2015,8:30,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/8/2015,9:51,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/8/2015,9:52,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/8/2015,10:03,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/8/2015,13:15,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/8/2015,13:18,$35.00,UNIVERSITY ST METERS,OVERLINE/TAKE THE SPACE OF
1/8/2015,13:20,$35.00,UNIVERSITY ST METERS,OVERLINE/TAKE THE SPACE OF
1/8/2015,13:22,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/8/2015,13:23,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/8/2015,13:24,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/8/2015,16:21,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/8/2015,16:23,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/8/2015,16:25,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/8/2015,16:26,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/9/2015,10:18,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/9/2015,10:18,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/9/2015,10:19,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/9/2015,10:22,$20.00,13TH AVE METERS,OVERTIME STREET MTR
1/9/2015,7:41,$20.00,15TH AVE,OVERTIME STREET MTR
1/9/2015,7:42,$20.00,15TH AVE,OVERTIME STREET MTR
1/9/2015,7:44,$20.00,15TH AVE,OVERTIME STREET MTR
1/9/2015,7:45,$20.00,15TH AVE,OVERTIME STREET MTR
1/9/2015,7:48,$20.00,15TH AVE,OVERTIME STREET MTR
1/9/2015,7:50,$35.00,15TH AVE,RESTRICTED AREA
1/9/2015,7:51,$35.00,15TH AVE,RESTRICTED AREA
1/9/2015,7:52,$30.00,15TH AVE,NO PERMIT DISPLAYED
1/9/2015,11:47,$0.00,ALLEN NORTH,WARNING/NO CHARGE
1/9/2015,11:43,$0.00,HAMILTON NORTH,WARNING/NO CHARGE
1/9/2015,11:40,$0.00,HAMILTON SOUTH,WARNING/NO CHARGE
1/9/2015,13:46,$45.00,LOT 12A - ONYX-LAWRENCE,RESERVED SPACE
1/9/2015,13:46,$50.00,LOT 12A - ONYX-LAWRENCE,TOWING FEE
1/9/2015,10:44,$30.00,LOT 30 - MCCT,NO PERMIT DISPLAYED
1/9/2015,13:56,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
1/9/2015,11:07,$20.00,LOT 36A - CARSON,OVERTIME LOT METER
1/9/2015,10:06,$35.00,LOT 44 - GRAD VILLAGE,RESTRICTED AREA
1/9/2015,8:01,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/9/2015,8:04,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/9/2015,10:01,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/9/2015,10:31,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/9/2015,10:33,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/9/2015,10:38,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/9/2015,10:54,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
1/9/2015,11:55,$0.00,WALTON SOUTH,WARNING/NO CHARGE
1/9/2015,11:58,$0.00,WALTON WEST,WARNING/NO CHARGE
1/10/2015,12:04,$45.00,LOT 37 - HAMILTON E,RESERVED SPACE
1/12/2015,8:01,$20.00,15TH AVE METERS,OVERTIME STREET MTR
1/12/2015,8:03,$20.00,15TH AVE METERS,OVERTIME STREET MTR
1/12/2015,8:03,$35.00,15TH AVE METERS,OVERLINE/TAKE THE SPACE OF
